date,opponent,uw_score,opponent_score,passing_yards,rushing_yards,fumbles,uw_win
9/3/16,Rutgers,48,13,289,91,0,1
9/10/16,Idaho,59,14,356,126,1,1
9/17/16,Portland State,41,3,194,213,1,1
9/24/16,Arizona,35,28,160,352,0,1
9/30/16,Stanford,44,6,210,214,0,1
10/8/16,Oregon,70,21,304,378,0,1
10/22/16,Oregon State,41,17,300,219,1,1
10/29/16,Utah,31,24,163,213,0,1
11/5/16,California,66,27,417,287,1,1
11/12/16,Southern California,13,26,259,17,0,0
11/19/16,Arizona State,44,18,338,201,0,1
11/25/16,Washington State,45,17,342,168,1,1
12/2/16,Colorodo,41,10,118,265,0,1
12/31/16,Alabama,7,24,150,44,1,0
